model_type,template,seq_len,num_layers,num_heads,d_model,d_ff,batch_size,batch_accum,tp,dp,pp,graph_id,timestamp,status
llm_forward,decoding,2048,1,128,5120,20480,2,1,2,1,1,0,2025-10-14T20:20:23.166007,completed
llm_forward,decoding,2048,1,128,5120,20480,8,1,16,1,1,1,2025-10-14T20:46:00.245669,completed
llm_forward,decoding,2048,1,128,5120,20480,1,1,2,1,1,2,2025-10-14T20:46:00.186075,completed
llm_forward,decoding,2048,1,128,5120,20480,2,1,4,1,1,3,2025-10-14T20:46:00.201026,completed
llm_forward,decoding,2048,1,128,5120,20480,4,1,4,1,1,4,2025-10-14T20:46:00.890162,completed
llm_forward,decoding,2048,1,128,5120,20480,4,1,8,1,1,5,2025-10-14T20:48:18.394059,completed
llm_forward,decoding,2048,1,128,5120,20480,8,1,8,1,1,6,2025-10-14T20:48:18.567252,completed
llm_forward,decoding,2048,1,128,5120,20480,8,1,12,1,1,7,2025-10-23T00:07:38.981956,completed
llm_forward,decoding,2048,1,128,5120,20480,8,1,4,1,1,8,2025-10-23T00:08:35.063490,completed
llm_forward,decoding,2048,1,128,5120,20480,4,1,6,1,1,9,2025-10-23T00:15:30.613025,completed
llm_forward,decoding,2048,1,40,5120,20480,8,1,4,1,1,10,2025-10-28T17:13:32.356178,completed
llm_forward,decoding,2048,1,40,5120,20480,4,1,2,1,1,11,2025-10-28T17:23:26.828434,completed
llm_forward,decoding,2048,1,40,5120,20480,2,1,1,1,1,12,2025-10-28T17:24:42.937760,completed
llm_forward,decoding,2048,1,40,5120,20480,8,1,8,1,1,13,2025-10-29T00:11:08.525028,completed
llm_forward,decoding,2048,1,40,5120,20480,4,1,4,1,1,14,2025-10-29T00:11:23.995762,completed
llm_forward,decoding,2048,1,40,5120,20480,2,1,2,1,1,15,2025-10-29T00:11:32.147399,completed
llm_forward,decoding,2048,1,40,5120,20480,8,1,12,1,1,16,2025-10-29T01:04:00.176191,completed
llm_forward,decoding,2048,1,40,5120,20480,4,1,6,1,1,17,2025-10-29T01:04:21.403168,completed
llm_forward,decoding,2048,1,40,5120,20480,2,1,3,1,1,18,2025-10-29T01:04:47.047505,completed
llm_forward,decoding,2048,1,40,5120,20480,8,1,2,1,1,19,2025-11-11T19:45:40.922148,completed
